"","participant","session","fixation_type","BIN_INDEX","sumFix","nTrials","meanFix"
"184","308602","1","unrelated","3",7,55,0.127272727272727
"185","308602","1","unrelated","30",2,55,0.0363636363636364
"186","308602","1","unrelated","31",0,55,0
"187","308602","1","unrelated","32",1,55,0.0181818181818182
"188","308602","1","unrelated","33",1,55,0.0181818181818182
"189","308602","1","unrelated","34",0,55,0
"190","308602","1","unrelated","35",0,55,0
"191","308602","1","unrelated","36",0,55,0
"192","308602","1","unrelated","37",0,55,0
"193","308602","1","unrelated","38",0,55,0
"194","308602","1","unrelated","39",0,55,0
"195","308602","1","unrelated","4",9,55,0.163636363636364
"196","308602","1","unrelated","40",0,55,0
"197","308602","1","unrelated","41",1,55,0.0181818181818182
"198","308602","1","unrelated","42",0,55,0
"199","308602","1","unrelated","43",0,55,0
"200","308602","1","unrelated","44",0,55,0
"201","308602","1","unrelated","45",0,55,0
"202","308602","1","unrelated","46",0,55,0
"203","308602","1","unrelated","47",0,55,0
"204","308602","1","unrelated","48",0,55,0
"205","308602","1","unrelated","49",0,55,0
"206","308602","1","unrelated","5",8,55,0.145454545454545
"207","308602","1","unrelated","50",0,55,0
"208","308602","1","unrelated","51",0,55,0
"209","308602","1","unrelated","52",0,55,0
"210","308602","1","unrelated","53",0,55,0
"211","308602","1","unrelated","54",0,55,0
"212","308602","1","unrelated","55",0,55,0
"213","308602","1","unrelated","56",0,55,0
"214","308602","1","unrelated","57",0,55,0
"215","308602","1","unrelated","58",0,55,0
"216","308602","1","unrelated","59",0,55,0
"217","308602","1","unrelated","6",9,55,0.163636363636364
"218","308602","1","unrelated","60",0,55,0
"219","308602","1","unrelated","61",0,55,0
"220","308602","1","unrelated","62",0,55,0
"221","308602","1","unrelated","63",0,55,0
"222","308602","1","unrelated","64",0,55,0
"223","308602","1","unrelated","65",0,55,0
"224","308602","1","unrelated","66",0,55,0
"225","308602","1","unrelated","67",0,55,0
"226","308602","1","unrelated","68",0,55,0
"227","308602","1","unrelated","69",0,55,0
"228","308602","1","unrelated","7",11,55,0.2
"229","308602","2","phonological","0",11,56,0.196428571428571
"230","308602","2","phonological","2",11,56,0.196428571428571
"231","308602","2","phonological","20",3,56,0.0535714285714286
"232","308602","2","phonological","21",1,56,0.0178571428571429
"233","308602","2","phonological","22",0,56,0
"234","308602","2","phonological","23",0,56,0
"235","308602","2","phonological","24",0,56,0
"236","308602","2","phonological","25",0,56,0
"237","308602","2","phonological","26",1,56,0.0178571428571429
"238","308602","2","phonological","27",0,56,0
"239","308602","2","phonological","28",0,56,0
"240","308602","2","phonological","29",0,56,0
"241","308602","2","phonological","3",10,56,0.178571428571429
"242","308602","2","phonological","30",1,56,0.0178571428571429
"243","308602","2","phonological","31",1,56,0.0178571428571429
"244","308602","2","phonological","32",1,56,0.0178571428571429
"245","308602","2","phonological","33",1,56,0.0178571428571429
"246","308602","2","phonological","34",2,56,0.0357142857142857
"247","308602","2","phonological","35",2,56,0.0357142857142857
"248","308602","2","phonological","36",2,56,0.0357142857142857
"249","308602","2","phonological","37",2,56,0.0357142857142857
"250","308602","2","phonological","38",1,56,0.0178571428571429
"251","308602","2","phonological","39",0,56,0
"252","308602","2","phonological","4",11,56,0.196428571428571
"253","308602","2","phonological","40",0,56,0
"254","308602","2","phonological","41",0,56,0
"255","308602","2","phonological","42",0,56,0
"256","308602","2","phonological","43",0,56,0
"257","308602","2","phonological","44",0,56,0
"258","308602","2","phonological","45",0,56,0
"259","308602","2","phonological","46",0,56,0
"260","308602","2","phonological","47",0,56,0
"261","308602","2","phonological","48",0,56,0
"262","308602","2","phonological","49",0,56,0
"263","308602","2","phonological","5",12,56,0.214285714285714
"264","308602","2","phonological","50",0,56,0
"265","308602","2","phonological","51",0,56,0
"266","308602","2","phonological","52",0,56,0
"267","308602","2","phonological","53",0,56,0
"268","308602","2","phonological","54",0,56,0
"269","308602","2","phonological","55",0,56,0
"270","308602","2","phonological","56",0,56,0
"271","308602","2","phonological","57",0,56,0
"272","308602","2","phonological","58",0,56,0
"273","308602","2","phonological","59",0,56,0
"274","308602","2","phonological","6",10,56,0.178571428571429
"275","308602","2","phonological","60",0,56,0
"276","308602","2","phonological","61",0,56,0
"277","308602","2","phonological","62",0,56,0
"278","308602","2","phonological","63",0,56,0
"279","308602","2","phonological","64",0,56,0
"280","308602","2","phonological","65",0,56,0
"281","308602","2","phonological","66",0,56,0
"282","308602","2","phonological","67",0,56,0
"283","308602","2","phonological","68",0,56,0
"284","308602","2","phonological","69",0,56,0
"285","308602","2","phonological","7",13,56,0.232142857142857
"286","308602","2","semantic","0",3,56,0.0535714285714286
"287","308602","2","semantic","2",5,56,0.0892857142857143
"288","308602","2","semantic","20",9,56,0.160714285714286
"289","308602","2","semantic","21",7,56,0.125
"290","308602","2","semantic","22",5,56,0.0892857142857143
"291","308602","2","semantic","23",7,56,0.125
"292","308602","2","semantic","24",4,56,0.0714285714285714
"293","308602","2","semantic","25",3,56,0.0535714285714286
"294","308602","2","semantic","26",4,56,0.0714285714285714
"295","308602","2","semantic","27",4,56,0.0714285714285714
"296","308602","2","semantic","28",5,56,0.0892857142857143
"297","308602","2","semantic","29",6,56,0.107142857142857
"298","308602","2","semantic","3",8,56,0.142857142857143
"299","308602","2","semantic","30",3,56,0.0535714285714286
"300","308602","2","semantic","31",2,56,0.0357142857142857
"301","308602","2","semantic","32",2,56,0.0357142857142857
"302","308602","2","semantic","33",1,56,0.0178571428571429
"303","308602","2","semantic","34",3,56,0.0535714285714286
"304","308602","2","semantic","35",4,56,0.0714285714285714
"305","308602","2","semantic","36",4,56,0.0714285714285714
"306","308602","2","semantic","37",3,56,0.0535714285714286
"307","308602","2","semantic","38",3,56,0.0535714285714286
"308","308602","2","semantic","39",1,56,0.0178571428571429
"309","308602","2","semantic","4",7,56,0.125
"310","308602","2","semantic","40",0,56,0
"311","308602","2","semantic","41",1,56,0.0178571428571429
"312","308602","2","semantic","42",1,56,0.0178571428571429
"313","308602","2","semantic","43",2,56,0.0357142857142857
"314","308602","2","semantic","44",1,56,0.0178571428571429
"315","308602","2","semantic","45",0,56,0
"316","308602","2","semantic","46",0,56,0
"317","308602","2","semantic","47",0,56,0
"318","308602","2","semantic","48",0,56,0
"319","308602","2","semantic","49",0,56,0
"320","308602","2","semantic","5",7,56,0.125
"321","308602","2","semantic","50",0,56,0
"322","308602","2","semantic","51",0,56,0
"323","308602","2","semantic","52",0,56,0
"324","308602","2","semantic","53",0,56,0
"325","308602","2","semantic","54",0,56,0
"326","308602","2","semantic","55",0,56,0
"327","308602","2","semantic","56",0,56,0
"328","308602","2","semantic","57",0,56,0
"329","308602","2","semantic","58",0,56,0
"330","308602","2","semantic","59",0,56,0
"331","308602","2","semantic","6",8,56,0.142857142857143
"332","308602","2","semantic","60",0,56,0
"333","308602","2","semantic","61",0,56,0
"334","308602","2","semantic","62",0,56,0
"335","308602","2","semantic","63",0,56,0
"336","308602","2","semantic","64",0,56,0
"337","308602","2","semantic","65",0,56,0
