"","...1","participant","session","fixation_type","BIN_INDEX","sumFix","nTrials","meanFix","BIN_INDEX.Index","poly1","poly2","poly3","poly4"
"1219",1219,308613,1,"semantic",38,4,55,0.0727272727272727,26,-0.0105146018451818,-0.127839252339548,-0.0264304760952076,0.137537416355817
"1220",1220,308613,1,"semantic",39,5,55,0.0909090909090909,27,-0.00354562155244505,-0.125874406486321,-0.042149273674044,0.134279928911134
"1221",1221,308613,1,"semantic",4,0,55,0,4,-0.247459931798233,0.215855851090021,-0.0766554449919331,-0.0519205577573336
"1222",1222,308613,1,"semantic",40,4,55,0.0727272727272727,28,0.00342335874029174,-0.123219644897902,-0.0573302100468187,0.128279390822765
"1223",1223,308613,1,"semantic",41,3,55,0.0545454545454545,29,0.0103923390330285,-0.119874967574291,-0.0718465777199485,0.119652223677668
"1224",1224,308613,1,"semantic",42,1,55,0.0181818181818182,30,0.0173613193257653,-0.115840374515487,-0.08557166919985,0.108547601772573
"1225",1225,308613,1,"semantic",43,1,55,0.0181818181818182,31,0.0243302996185021,-0.111115865721492,-0.0983787769929403,0.0951474521139743
"1226",1226,308613,1,"semantic",44,2,55,0.0363636363636364,32,0.0312992799112389,-0.105701441192305,-0.110141193605636,0.0796664544181369
"1227",1227,308613,1,"semantic",45,2,55,0.0363636363636364,33,0.0382682602039757,-0.099597100927925,-0.120732211544354,0.0623520411110932
"1228",1228,308613,1,"semantic",46,3,55,0.0545454545454545,34,0.0452372404967125,-0.0928028449283534,-0.130025123315512,0.0434843973286446
"1229",1229,308613,1,"semantic",47,3,55,0.0545454545454545,35,0.0522062207894493,-0.0853186731935896,-0.137893221425525,0.02337646091636
"1230",1230,308613,1,"semantic",48,2,55,0.0363636363636364,36,0.0591752010821861,-0.0771445857236338,-0.144209798380811,0.00237392242957767
"1231",1231,308613,1,"semantic",49,2,55,0.0363636363636364,37,0.0661441813749229,-0.0682805825184859,-0.148848146687787,-0.0191447748665969
"1232",1232,308613,1,"semantic",5,0,55,0,5,-0.240490951505496,0.194363561946717,-0.0352705648948769,-0.126497826821889
"1233",1233,308613,1,"semantic",50,1,55,0.0181818181818182,38,0.0731131616676596,-0.0587266635781459,-0.151681558852869,-0.0407684349972886
"1234",1234,308613,1,"semantic",51,0,55,0,39,0.0800821419603964,-0.0484828289026138,-0.152583327382474,-0.0620531092778549
"1235",1235,308613,1,"semantic",52,1,55,0.0181818181818182,40,0.0870511222531332,-0.0375490784918897,-0.151426744783019,-0.0825220963138848
"1236",1236,308613,1,"semantic",53,1,55,0.0181818181818182,41,0.09402010254587,-0.0259254123459734,-0.148085103560922,-0.101665942001199
"1237",1237,308613,1,"semantic",54,1,55,0.0181818181818182,42,0.100989082838607,-0.0136118304648651,-0.142431696222598,-0.118942439525848
"1238",1238,308613,1,"semantic",55,1,55,0.0181818181818182,43,0.107958063131344,-0.000608332848564711,-0.134339815274464,-0.133776629364118
"1239",1239,308613,1,"semantic",56,2,55,0.0363636363636364,44,0.11492704342408,0.0130850805029278,-0.123682753222938,-0.145560799282523
"1240",1240,308613,1,"semantic",57,2,55,0.0363636363636364,45,0.121896023716817,0.0274684095896123,-0.110333802574436,-0.153654484337811
"1241",1241,308613,1,"semantic",58,2,55,0.0363636363636364,46,0.128865004009554,0.042541654411489,-0.0941662558353751,-0.15738446687696
"1242",1242,308613,1,"semantic",59,2,55,0.0363636363636364,47,0.135833984302291,0.0583048149685577,-0.0750534055121718,-0.156044776537181
"1243",1243,308613,1,"semantic",6,0,55,0,6,-0.233521971212759,0.173561188538605,0.00234412162641305,-0.188288618174581
"1244",1244,308613,1,"semantic",60,1,55,0.0181818181818182,48,0.142802964595028,0.0747578912608186,-0.0528685441112433,-0.148896690245915
"1245",1245,308613,1,"semantic",61,1,55,0.0181818181818182,49,0.149771944887764,0.0919008832882715,-0.027484964139006,-0.135168732220837
"1246",1246,308613,1,"semantic",62,1,55,0.0181818181818182,50,0.156740925180501,0.109733791050916,0.00122404189812295,-0.114056673969852
"1247",1247,308613,1,"semantic",63,2,55,0.0363636363636364,51,0.163709905473238,0.128256614548754,0.0333851814937267,-0.0847235342910967
"1248",1248,308613,1,"semantic",64,1,55,0.0181818181818182,52,0.170678885765975,0.147469353781783,0.0691251621413887,-0.0462995792729401
"1249",1249,308613,1,"semantic",65,1,55,0.0181818181818182,53,0.177647866058711,0.167372008750004,0.108570691334692,0.00211767770601801
