Session_Name_	Trial_Index_	Trial_Recycled_	Needs_recalibrate	RESPONSE	gaze_in_CIRCLE	list	item	condition	unique_id	target	audio_s	phonemic_distractor	semantic_distractor	unrelated_distractor	target_location	phonemic_location	semantic_location	unrelated_location	timepoint_onset	timepoint_offset	audio_end	targetword	ispractice	ACCURACY	RT
T1208211	28	False	0	target	False	1	26	1	1X26Y	mechanic_02.jpg	mechanic.wav	marshmallow_01.jpg	toolbox_01.jpg	wineglass_01.jpg	2	3	4	1	0.235	0.857	1.25	mechanic	2	1	2984
T1208211	29	False	0	target	False	1	14	0	1X14Y	pencilsharpener_02.jpg	sharpener.wav	sheep_01.jpg	textbook_01.jpg	hedgehog_01.jpg	2	3	4	1	0.171709	1.078291	1.25	sharpener	2	1	2302
T1208211	30	False	0	target	False	1	57	0	1X57Y	stroller_02.jpg	stroller.wav	stretch_01.jpg	carseat_01.jpg	rubikscube_01.jpg	1	2	3	4	0.131755	0.927982	1.23	stroller	2	1	2286
T1208211	31	False	0	target	False	1	3	1	1X3Y	artichoke_02.jpg	artichoke.wav	artist_01.jpg	shallots_01.jpg	markerboard_01.jpg	3	4	1	2	0.181909	1.288763	1.194604	artichoke	2	1	1873
T1208211	32	False	0	target	False	1	25	1	1X25Y	astronaut_02.jpg	astronaut.wav	abacus_01.jpg	rocket_01.jpg	bagel_01.jpg	1	2	3	4	0.24	0.881	1.31	astronaut	2	1	2266
T1208211	33	False	0	target	False	1	32	1	1X32Y	lawnmower_02.jpg	lawnmower.wav	lifeguard_01.jpg	snowblower_01.jpg	chalkboard_01.jpg	4	1	2	3	0.198456	0.890091	1.24	lawnmower	2	1	2124
T1208211	34	False	0	target	False	1	2	0	1X2Y	raspberries_02.jpg	raspberries.wav	radiator_01.jpg	grapefruit_01.jpg	kettle_01.jpg	2	3	4	1	0.238	1.042	1.367	raspberries	2	1	2861
T1208211	35	False	0	target	False	1	9	0	1X9Y	asparagus_02.jpg	asparagus.wav	accountant_01.jpg	spinach_01.jpg	tanktop_01.jpg	1	2	3	4	0.179004	1.288763	1.43	asparagus	2	1	2949
T1208211	36	False	0	target	False	1	28	1	1X28Y	policeman_02.jpg	policeman.wav	picnic_01.jpg	badge_01.jpg	beehive_01.jpg	4	1	2	3	0.151552	0.963331	1.27	policeman	2	1	2247
T1208211	37	False	0	target	False	1	16	1	1X16Y	rollingpin_02.jpg	rollingpin.wav	raincoat_01.jpg	grater_01.jpg	dominoes_01.jpg	4	1	2	3	0.225188	0.88642	1.03	rollingpin	2	1	2074
T1208211	38	False	0	target	False	1	53	0	1X53Y	rollerskate_02.jpg	rollerskate.wav	railroadcrossing_01.jpg	pogostick_01.jpg	camper_01.jpg	1	2	3	4	0.176008	0.932662	1.26	rollerskate	2	1	2197
T1208211	39	False	0	target	False	1	10	0	1X10Y	pomegranate_02.jpg	pomegranate.wav	pajamas_01.jpg	apricot_01.jpg	filecabinet_01.jpg	2	3	4	1	0.239	0.886	1.36	pomegranate	2	1	1570
T1208211	40	False	0	target	False	1	22	0	1X22Y	butcher_02.jpg	butcher.wav	buffalo_01.jpg	steak_01.jpg	newspaper_01.jpg	2	3	4	1	0.228	0.609	1.07	butcher	2	1	2560
T1208211	41	False	0	target	False	1	33	0	1X33Y	anvil_02.jpg	anvil.wav	anthill_01.jpg	weight_01.jpg	pocket_01.jpg	1	2	3	4	0.19875	0.743065	1.17	anvil	2	1	2967
T1208211	42	False	0	target	False	1	8	1	1X8Y	sweetpotato_02.jpg	sweetpotato.wav	swimsuit_01.jpg	eggplant_01.jpg	flipflops_01.jpg	4	1	2	3	0.258	1.11	1.347	sweetpotato	2	1	2589
T1208211	43	False	0	target	False	1	40	0	1X40Y	pliers_02.jpg	pliers.wav	playground_01.jpg	crowbar_01.jpg	discoball_01.jpg	4	1	2	3	0.154223	0.811025	1.06	pliers	2	1	2792
T1208211	44	False	0	target	False	1	21	1	1X21Y	photographer_02.jpg	photographer.wav	fedora_01.jpg	gymnast_01.jpg	hotdog_01.jpg	1	2	3	4	0.216	1.062	1.52	photographer	2	1	2453
T1208211	45	False	0	target	False	1	37	1	1X37Y	screwdriver_02.jpg	screwdriver.wav	scarecrow_01.jpg	toolbox_01.jpg	RV_01.jpg	1	2	3	4	0.177502	0.965665	1.22	screwdriver	2	1	1876
T1208211	46	False	0	target	False	1	38	1	1X38Y	paintbrush_02.jpg	paintbrush.wav	passport_01.jpg	canvas_01.jpg	chessboard_01.jpg	2	3	4	1	0.164981	0.910258	1.15	paintbrush	2	1	2593
T1208211	47	False	0	target	False	1	35	1	1X35Y	tapemeasure_02.jpg	tapemeasure.wav	typewriter_01.jpg	level_01.jpg	chandelier_01.jpg	3	4	1	2	0.242	0.917	1.31	tapemeasure	2	1	1810
T1208211	48	False	0	target	False	1	31	1	1X31Y	chainsaw_02.jpg	chainsaw.wav	chapstick_01.jpg	sledgehammer_01.jpg	jeans_01.jpg	3	4	1	2	0.217	0.844	1.29	chainsaw	2	1	1967
T1208211	49	False	0	target	False	1	41	0	1X41Y	boxinggloves_02.jpg	boxinggloves.wav	bonfire_01.jpg	kneepads_01.jpg	frosting_01.jpg	1	2	3	4	0.224324	1.224263	1.419688	boxinggloves	2	1	2538
T1208211	50	False	0	target	False	1	54	1	1X54Y	cruiseship_02.jpg	cruiseship.wav	crayons_01.jpg	sailboat_01.jpg	magnifyingglass_01.jpg	2	3	4	1	0.227	0.834	1.24	cruiseship	2	1	1858
T1208211	51	False	0	target	False	1	19	0	1X19Y	corkscrew_02.jpg	corkscrew.wav	cowgirl_01.jpg	bottleopener_01.jpg	chandelier_01.jpg	3	4	1	2	0.173652	0.802852	1.128063	corkscrew	2	1	2556
T1208211	52	False	0	target	False	1	20	1	1X20Y	ladle_02.jpg	ladle.wav	lapel_01.jpg	colander_01.jpg	magazine_01.jpg	4	1	2	3	0.087444	0.647605	1.01	ladle	2	1	2195
T1208211	53	False	0	target	False	1	18	1	1X18Y	canopener_02.jpg	canopener.wav	candelabra_01.jpg	measuringcup_01.jpg	stairglide_01.jpg	2	3	4	1	0.143858	0.93652	1.16817	canopener	2	1	2168
T1208211	54	False	0	target	False	1	24	0	1X24Y	janitor_02.jpg	janitor.wav	jaguar_01.jpg	plunger_01.jpg	ketchup_01.jpg	4	1	2	3	0.236	0.8	1.25	janitor	2	1	2342
T1208211	55	False	0	target	False	1	30	0	1X30Y	dentist_02.jpg	dentist.wav	dive_01.jpg	nurse_01.jpg	cashregister_01.jpg	2	3	4	1	0.213598	0.893529	1.27	dentist	2	1	4220
T1208211	56	False	0	target	False	1	29	1	1X29Y	waiter_02.jpg	server.wav	cymbals_01.jpg	buffet_01.jpg	peninsula_01.jpg	1	2	3	4	0.156001	0.694005	1.07	server	2	1	4247
T1208211	57	False	0	target	False	1	36	0	1X36Y	toolbelt_02.jpg	toolbelt.wav	taxi_01.jpg	backpack_01.jpg	dalmation_01.jpg	4	1	2	3	0.236	0.86	1.33	toolbelt	2	1	2176
T1208211	58	False	0	target	False	1	5	1	1X5Y	garlic_02.jpg	garlic.wav	goalie_01.jpg	onion_01.jpg	waterbottle_01.jpg	1	2	3	4	0.241	0.718	1.11	garlic	2	1	2518
T1208211	59	False	0	target	False	1	59	1	1X59Y	parachute_02.jpg	parachute.wav	parkinglot_01.jpg	airplane_01.jpg	doorknob_01.jpg	3	4	1	2	0.148529	0.755114	0.94	parachute	2	1	2336
T1208211	60	False	0	target	False	1	45	1	1X45Y	fishingpole_02.jpg	fishingrod.wav	firestation_01.jpg	fishingbob_01.jpg	trafficcone_01.jpg	1	2	3	4	0.208688	0.954167	1.17	fishingrod	2	1	2331
T1208211	61	False	0	target	False	1	47	1	1X47Y	jumprope_02.jpg	jumprope.wav	jewelry_01.jpg	punchingbag_01.jpg	cinnamonroll_01.jpg	3	4	1	2	0.209154	0.880921	1.2	jumprope	2	1	1987
T1208211	62	False	0	dis_s	False	1	12	1	1X12Y	taperecorder_02.jpg	taperecorder.wav	tightropewalker_01.jpg	camcorder_01.jpg	chart_01.jpg	4	1	2	3	0.167937	1.022261	1.22	taperecorder	2	0	2898
T1208211	63	False	0	target	False	1	17	0	1X17Y	tripod_02.jpg	tripod.wav	traincar_01.jpg	tvstand_01.jpg	cannoli_01.jpg	1	2	3	4	0.157855	0.829622	1.2	tripod	2	1	2674
T1208211	64	False	0	target	False	1	58	0	1X58Y	wheelbarrow_02.jpg	wheelbarrow.wav	wallpaper_01.jpg	shed_01.jpg	ketchup_01.jpg	2	3	4	1	0.183311	0.87747	1.24	wheelbarrow	2	1	2349
T1208211	65	False	0	target	False	1	51	0	1X51Y	unicycle_02.jpg	unicycle.wav	yogurt_01.jpg	trapeze_01.jpg	cereal_01.jpg	3	4	1	2	0.195098	0.934204	1.16	unicycle	2	1	1946
